nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,mean_number_parcel_handover,execution_time,CT_reduction_perc,UT_increase_perc
20,5,2,43,LOCALSEARCH-BFSOPT,7854.5016,1.9339,1.5,7831.9798,0.9971,0,0.293036475,-12.435556479032268,2.94096064378959
20,5,2,44,GREEDY,10721.2664,3.3419,3.5,8879.1346,0.8282,0,0.216064356,0.0,0.0
20,5,2,44,LOCALSEARCH-LB,9990.2547,3.4057,4,9632.7301,0.9642,0.2,0.376334358,-6.818333513287208,8.487262936638007
20,5,2,44,LOCALSEARCH-HC,9990.2547,3.4057,4,9632.7301,0.9642,0.2,0.37709063,-6.818333513287208,8.487262936638007
20,5,2,44,LOCALSEARCH-BFSOPT,9990.2547,3.4057,4,9632.7301,0.9642,0.2,0.409314336,-6.818333513287208,8.487262936638007
20,5,2,45,GREEDY,10945.1117,3.1579,3,10021.9817,0.9157,0,0.216521535,0.0,0.0
20,5,2,45,LOCALSEARCH-LB,10636.6464,3.2031,3,10511.5521,0.9882,0,0.312969691,-2.8182928457459218,4.884966014256447
20,5,2,45,LOCALSEARCH-HC,10636.6464,3.2031,3,10511.5521,0.9882,0,0.314075815,-2.8182928457459218,4.884966014256447
20,5,2,45,LOCALSEARCH-BFSOPT,10636.6464,3.2031,3,10511.5521,0.9882,0,0.312663972,-2.8182928457459218,4.884966014256447
20,5,2,46,GREEDY,7866.8151,1.4266,1.5,7260.975,0.923,0,0.215358811,0.0,0.0
20,5,2,46,LOCALSEARCH-LB,7866.8151,1.4266,1.5,7260.975,0.923,0,0.233507645,0.0,0.0
20,5,2,46,LOCALSEARCH-HC,7866.8151,1.4266,1.5,7260.975,0.923,0,0.233291841,0.0,0.0
20,5,2,46,LOCALSEARCH-BFSOPT,7866.8151,1.4266,1.5,7260.975,0.923,0,0.234279191,0.0,0.0
20,5,2,47,GREEDY,15373.2326,3.2117,4,13447.2704,0.8747,0,0.223724891,0.0,0.0
20,5,2,47,LOCALSEARCH-LB,13584.7928,3.2142,3.5,13478.6216,0.9922,0.4,1.427216988,-11.63346608051712,0.23314173856428866
20,5,2,47,LOCALSEARCH-HC,13584.7928,3.2142,3.5,13478.6216,0.9922,0.4,0.514727747,-11.63346608051712,0.23314173856428866
20,5,2,47,LOCALSEARCH-BFSOPT,13584.7928,3.2142,3.5,13478.6216,0.9922,0.4,0.809700191,-11.63346608051712,0.23314173856428866
20,5,2,48,GREEDY,13654.2593,3.9082,4.5,11122.5586,0.8146,0,0.218716407,0.0,0.0
20,5,2,48,LOCALSEARCH-LB,11486.0291,3.9263,4,11308.5112,0.9845,0.2,1.073008378,-15.879515339217265,1.6718509354493356
20,5,2,48,LOCALSEARCH-HC,11486.0291,3.9263,4,11308.5112,0.9845,0.2,0.439040663,-15.879515339217265,1.6718509354493356
20,5,2,48,LOCALSEARCH-BFSOPT,11486.0291,3.9263,4,11308.5112,0.9845,0.2,0.883857784,-15.879515339217265,1.6718509354493356
20,5,2,49,GREEDY,12226.4163,2.8015,3.5,8768.079,0.7171,0,0.217857561,0.0,0.0
20,5,2,49,LOCALSEARCH-LB,10892.7288,2.9346,3,10036.8355,0.9214,0.4,1.365821815,-10.908245452103573,14.470176420627592
20,5,2,49,LOCALSEARCH-HC,10912.7288,2.9695,3,10558.3324,0.9675,0,0.382696897,-10.74466522132082,20.417852074553615
20,5,2,49,LOCALSEARCH-BFSOPT,10911.1872,2.9416,3,10255.915,0.9399,0,0.884905138,-10.757273985509558,16.96877959242841
20,5,2,50,GREEDY,9436.1468,3.4908,4,8032.8003,0.8513,0,0.215588784,0.0,0.0
20,5,2,50,LOCALSEARCH-LB,8819.1688,3.9654,4.5,8739.8209,0.991,0.2,0.354971201,-6.538452750650308,8.801670321618735
20,5,2,50,LOCALSEARCH-HC,9102.8822,3.5187,4,8334.3405,0.9156,0,0.270546167,-3.5317869365915375,3.753861526969622
20,5,2,50,LOCALSEARCH-BFSOPT,8819.1688,3.9654,4.5,8739.8209,0.991,0.2,0.352222039,-6.538452750650308,8.801670321618735
20,5,4,1,GREEDY,6232.7737,1.1746,1,4594.1898,0.7371,0,0.411490802,0.0,0.0
20,5,4,1,LOCALSEARCH-LB,5884.5664,1.2394,1,5296.3244,0.9,0,1.091743833,-5.5867149484345955,15.28309953585288
20,5,4,1,LOCALSEARCH-HC,5884.5664,1.2394,1,5296.3244,0.9,0,0.603223064,-5.5867149484345955,15.28309953585288
20,5,4,1,LOCALSEARCH-BFSOPT,5884.5664,1.207,1,4945.4387,0.8404,0,0.784541881,-5.5867149484345955,7.645502586767302
20,5,4,2,GREEDY,8443.7069,1.7468,1.5,5655.8289,0.6698,0,0.402037481,0.0,0.0
