nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time,perc_flight_time,perc_swap_time,perc_load_unload_time,perc_waiting_time,diff_demand-cons
20,5,2,9,LOCALSEARCH-LB,8197.7501,8174.4375,7954.4375,120,100,0,4913.0979,55681.0625,1.8817,2,8174.4375,0.9972,0,0,0.268799048,0.973086833,0.014679909,0.012233258,0,1.1183
20,5,2,9,LOCALSEARCH-HC,8197.7501,8174.4375,7954.4375,120,100,0,4913.0979,55681.0625,1.8817,2,8174.4375,0.9972,0,0,0.265275031,0.973086833,0.014679909,0.012233258,0,1.1183
20,5,2,9,LOCALSEARCH-BFSOPT,8197.7501,8174.4375,7954.4375,120,100,0,4913.0979,55681.0625,1.8817,2,8174.4375,0.9972,0,0,0.267924913,0.973086833,0.014679909,0.012233258,0,1.1183
20,5,2,10,GREEDY,11274.4253,9558.6004,9218.6004,240,100,0,5441.9116,64530.2031,3.3841,4,9558.6004,0.8478,0,0,0.216048614,0.964429939,0.025108278,0.010461783,0,1.6159
20,5,2,10,LOCALSEARCH-LB,11247.1135,10096.8605,9706.8605,270,120,0,5872.5196,67948.0233,3.6708,4.5,10096.8605,0.8977,1,0.2,0.29816437,0.961374132,0.026740985,0.011884882,0,1.8292
20,5,2,10,LOCALSEARCH-HC,11247.1135,10096.8605,9706.8605,270,120,0,5872.5196,67948.0233,3.6708,4.5,10096.8605,0.8977,1,0.2,0.298364047,0.961374132,0.026740985,0.011884882,0,1.8292
20,5,2,10,LOCALSEARCH-BFSOPT,11247.1135,10096.8605,9706.8605,270,120,0,5872.5196,67948.0233,3.6708,4.5,10096.8605,0.8977,1,0.2,0.300060594,0.961374132,0.026740985,0.011884882,0,1.8292
20,5,2,11,GREEDY,13229.7632,10538.1214,10108.1214,330,100,0,6630.7052,70756.8495,4.4672,5.5,10538.1214,0.7965,0,0,0.220822833,0.959195763,0.031314879,0.009489357,0,2.0328
20,5,2,11,LOCALSEARCH-LB,11079.1621,10713.3302,10263.3302,330,120,0,6700.7888,71843.3114,4.4815,5.5,10713.3302,0.967,1,0.2,2.002537504,0.957996254,0.030802747,0.011200999,0,2.0185
20,5,2,11,LOCALSEARCH-HC,11079.1621,10713.3302,10263.3302,330,120,0,6700.7888,71843.3114,4.4815,5.5,10713.3302,0.967,1,0.2,0.398089745,0.957996254,0.030802747,0.011200999,0,2.0185
