nstations,ndeliveries,ndrones,seed,algorithm,completion_time,mean_schedule_time,mean_flight_time,mean_swap_time,mean_load_unload_time,mean_waiting_time,mean_delivery_time,mean_schedule_distance,mean_schedule_energy,mean_number_swaps,drone_utilization_time,drone_utilization,total_number_parcel_handover,mean_number_parcel_handover,execution_time
20,15,2,12,LOCALSEARCH-HC,23092.7331,23055.6846,22015.6846,720.0,320.0,0.0, 11205.4953,154109.7923,8.5958,12.0,23055.6846,0.9984,1,0.0667,5.302418591000006
20,15,2,12,LOCALSEARCH-BFSOPT,23092.7331,23055.6846,22015.6846,720.0,320.0,0.0, 11205.4953,154109.7923,8.5958,12.0,23055.6846,0.9984,1,0.0667,24.543161890999983
20,15,2,13,GREEDY,29553.3571,27554.6672,26474.6672,780.0,300.0,-0.0, 13503.7504,185322.6704,9.5322,13.0,27554.6672,0.9324,0,0.0,1.7930742719999984
20,15,2,13,LOCALSEARCH-LB,27589.813,27526.3256,26476.3256,750.0,300.0,-0.0, 13396.2183,185334.2795,9.5323,12.5,27526.3256,0.9977,0,0.0,16.266465116000006
20,15,2,13,LOCALSEARCH-HC,27689.813,27544.6672,26474.6672,750.0,320.0,0.0, 13510.417,185322.6704,9.5322,12.5,27544.6672,0.9948,1,0.0667,5.689847510999996
20,15,2,13,LOCALSEARCH-BFSOPT,27589.813,27526.3256,26476.3256,750.0,300.0,-0.0, 13396.2183,185334.2795,9.5323,12.5,27526.3256,0.9977,0,0.0,17.703869010000005
20,15,2,14,GREEDY,28950.048,27102.7594,26082.7594,720.0,300.0,0.0, 13452.2115,182579.3155,10.3488,12.0,27102.7594,0.9362,0,0.0,1.789804281000002
20,15,2,14,LOCALSEARCH-LB,27677.7407,27435.1501,26375.1501,720.0,340.0,-0.0, 13809.7916,184626.051,10.3757,12.0,27435.1501,0.9912,2,0.1333,13.932293477000002
20,15,2,14,LOCALSEARCH-HC,27872.7638,27750.1947,26730.1947,720.0,300.0,0.0, 13624.8609,187111.363,10.4085,12.0,27750.1947,0.9956,0,0.0,3.9263775659999993
20,15,2,14,LOCALSEARCH-BFSOPT,27677.7407,27435.1501,26375.1501,720.0,340.0,-0.0, 13809.7916,184626.051,10.3757,12.0,27435.1501,0.9912,2,0.1333,17.505350128000003
20,15,2,15,GREEDY,26433.7299,23176.6898,22306.6898,570.0,300.0,0.0, 10590.9641,156146.8287,7.6646,9.5,23176.6898,0.8768,0,0.0,1.783646613000002
20,15,2,15,LOCALSEARCH-LB,23331.9046,23176.6898,22306.6898,570.0,300.0,0.0, 10797.7525,156146.8287,7.6646,9.5,23176.6898,0.9933,0,0.0,13.142192523999995
20,15,2,15,LOCALSEARCH-HC,23331.9046,23176.6898,22306.6898,570.0,300.0,0.0, 10797.7525,156146.8287,7.6646,9.5,23176.6898,0.9933,0,0.0,3.7227655710000036
20,15,2,15,LOCALSEARCH-BFSOPT,23331.9046,23176.6898,22306.6898,570.0,300.0,0.0, 10797.7525,156146.8287,7.6646,9.5,23176.6898,0.9933,0,0.0,48.06382123200001
20,15,2,16,GREEDY,30030.2219,29131.219,28261.219,570.0,300.0,-0.0, 13815.5475,197828.533,7.8356,9.5,29131.219,0.9701,0,0.0,1.770251536
20,15,2,16,LOCALSEARCH-LB,29491.1653,29131.219,28261.219,570.0,300.0,0.0, 13851.4846,197828.533,7.8356,9.5,29131.219,0.9878,0,0.0,7.801036284999981
20,15,2,16,LOCALSEARCH-HC,29491.1653,29131.219,28261.219,570.0,300.0,0.0, 13851.4846,197828.533,7.8356,9.5,29131.219,0.9878,0,0.0,3.6642819719999906
